"Pass,Time (seconds),Suminf,Obj,Iterations"
"1,3.91,2.00000 (4),5598.76,2384"
"2,3.96,0.44444 (1),5605.54,26"
"3,3.99,0.00000 (0),5607.6,2"
"4,4.61,2.04445 (5),5597.87,2"
"5,4.73,0.44444 (1),5597.87,131"
"6,4.79,0.04445 (1),5597.87,3"
"7,4.86,0.44444 (1),5597.87,2"
"8,5.24,0.04445 (1),5597.87,874"
"9,5.30,0.04445 (1),5597.87,87"
"10,5.36,0.44444 (1),5597.87,12"
"11,5.40,0.04445 (1),5597.87,2"
"12,5.94,0.04445 (1),5597.87,717"
"13,6.00,0.04445 (1),5597.87,106"
"14,6.05,0.44444 (1),5596.7,11"
"15,6.11,0.04445 (1),5597.87,4"
"16,6.44,0.04445 (1),5597.87,666"
"17,6.50,0.04445 (1),5597.87,77"
"18,6.55,0.44444 (1),5597.87,13"
"19,6.60,0.04445 (1),5597.87,4"
"20,6.85,0.04445 (1),5597.87,683"
"21,6.91,0.04445 (1),5597.87,104"
"22,6.95,0.44444 (1),5596.7,14"
"23,7.00,0.04445 (1),5597.87,2"
"24,7.36,0.04445 (1),5597.87,686"
"25,7.44,0.04445 (1),5597.87,103"
"26,7.51,0.44444 (1),5597.87,12"
"27,7.56,0.04445 (1),5597.87,3"
"28,7.81,0.95555 (2),5597.87,637"
"29,7.88,0.55556 (2),5597.87,133"
"30,7.94,0.04445 (1),5597.87,5"
"31,8.00,0.44444 (1),5596.7,3"
"32,8.27,0.95555 (2),5597.87,668"
"33,8.33,0.55556 (2),5597.87,80"
"33,12.74,2.12445 (5),5597.64,0"
"34,12.83,0.44444 (1),5597.64,131"
"35,12.89,0.12445 (1),5597.64,3"
"36,12.95,0.44444 (1),5597.64,2"
"37,13.29,0.12445 (1),5597.64,792"
"38,13.35,0.12445 (1),5597.64,85"
"39,13.40,0.44444 (1),5597.64,22"
"40,13.45,0.12445 (1),5597.64,3"
"41,13.72,1.12445 (3),5597.64,684"
"42,13.78,1.12445 (3),5597.64,91"
"43,13.86,0.44444 (1),5597.64,163"
"44,13.91,0.12445 (1),5597.64,4"
"45,13.97,0.44444 (1),5597.64,2"
"46,14.31,0.12445 (1),5597.64,745"
"47,14.42,0.12445 (1),5597.64,118"
"48,14.49,0.44444 (1),5597.64,11"
"49,14.56,0.12445 (1),5597.64,4"
"50,14.93,0.87555 (2),5597.64,657"
"51,15.00,0.55556 (2),5596.7,78"
"52,15.05,0.12445 (1),5597.64,8"
"53,15.10,0.44444 (1),5596.7,4"
"54,15.43,0.12445 (1),5597.64,650"
"55,15.50,0.12445 (1),5597.64,72"
"56,15.55,0.44444 (1),5596.7,11"
"57,15.61,0.12445 (1),5597.64,10"
"58,15.95,0.12445 (1),5597.64,740"
"59,16.02,0.12445 (1),5597.64,95"
"60,16.06,0.44444 (1),5596.7,14"
"61,16.13,0.12445 (1),5597.64,14"
"62,16.40,0.12445 (1),5597.64,595"
